id,name,cp,ivs
114,Tangela,1500,0 / 13 / 15 
115,Kangaskhan,1500,0 / 14 / 15 
116,Horsea,1500,15 / 15 / 15 
117,Seadra,1500,1 / 15 / 14 
118,Goldeen,1500,15 / 15 / 15 
119,Seaking,1500,0 / 14 / 14 
120,Staryu,1500,15 / 15 / 15 
121,Starmie,1500,0 / 15 / 11 
122,Mr Mime,1500,0 / 13 / 15 
123,Scyther,1500,0 / 14 / 11 
124,Jynx,1500,0 / 14 / 15 
125,Electabuzz,1500,0 / 14 / 11 
126,Magmar,1500,0 / 15 / 15 
127,Pinsir,1500,0 / 13 / 14 
128,Tauros,1500,0 / 15 / 15 
129,Magikarp,1500,15 / 15 / 15 
130,Gyarados,1500,0 / 14 / 15 
131,Lapras,1500,0 / 10 / 14 
132,Ditto,1500,15 / 15 / 15 
133,Eevee,1500,15 / 15 / 15 
134,Vaporeon,1500,1 / 15 / 15 
135,Jolteon,1500,0 / 12 / 15 
136,Flareon,1500,0 / 15 / 13 
137,Porygon,1500,0 / 13 / 15 
138,Omanyte,1500,10 / 15 / 15 
139,Omastar,1500,0 / 9 / 15 
140,Kabuto,1500,15 / 15 / 15 
141,Kabutops,1500,0 / 14 / 10 
142,Aerodactyl,1500,1 / 15 / 15 
143,Snorlax,1500,1 / 15 / 14 
144,Articuno,1500,0 / 15 / 15 
145,Zapdos,1500,0 / 12 / 12 
146,Moltres,1500,1 / 15 / 15 
147,Dratini,1500,15 / 15 / 15 
148,Dragonair,1500,1 / 15 / 15 
149,Dragonite,1500,3 / 15 / 14 
150,Mewtwo,1500,4 / 15 / 15 
151,Mew,1500,0 / 10 / 13 
152,Chikorita,1500,15 / 15 / 15 
153,Bayleef,1500,15 / 15 / 15 
154,Meganium,1500,0 / 10 / 15 
155,Cyndaquil,1500,15 / 15 / 15 
156,Quilava,1500,0 / 13 / 15 
157,Typhlosion,1500,0 / 15 / 13 
158,Totodile,1500,15 / 15 / 15 
159,Croconaw,1500,0 / 13 / 15 
160,Feraligatr,1500,0 / 11 / 13 
161,Sentret,1500,15 / 15 / 15 
162,Furret,1500,1 / 15 / 14 
163,Hoothoot,1500,15 / 15 / 15 
164,Noctowl,1500,1 / 14 / 15 
165,Ledyba,1500,15 / 15 / 15 
166,Ledian,1500,15 / 15 / 15 
167,Spinarak,1500,15 / 15 / 15 
168,Ariados,1500,0 / 14 / 15 
169,Crobat,1500,0 / 15 / 12 
170,Chinchou,1500,15 / 15 / 15 
171,Lanturn,1500,0 / 13 / 14 
172,Pichu,1500,15 / 15 / 15 
173,Cleffa,1500,15 / 15 / 15 
174,Igglybuff,1500,15 / 15 / 15 
175,Togepi,1500,15 / 15 / 15 
176,Togetic,1500,0 / 14 / 14 
177,Natu,1500,15 / 15 / 15 
178,Xatu,1500,0 / 13 / 15 
179,Mareep,1500,15 / 15 / 15 
180,Flaaffy,1500,12 / 15 / 15 
181,Ampharos,1500,0 / 13 / 11 
182,Bellossom,1500,1 / 14 / 14 
183,Marill,1500,15 / 15 / 15 
184,Azumarill,1500,8 / 15 / 15 
185,Sudowoodo,1500,0 / 14 / 11 
186,Politoed,1500,0 / 15 / 11 
187,Hoppip,1500,15 / 15 / 15 
188,Skiploom,1500,15 / 15 / 15 
189,Jumpluff,1500,4 / 15 / 14 
190,Aipom,1500,15 / 15 / 15 
191,Sunkern,1500,15 / 15 / 15 
192,Sunflora,1500,0 / 15 / 15 
193,Yanma,1500,15 / 15 / 15 
194,Wooper,1500,15 / 15 / 15 
195,Quagsire,1500,0 / 15 / 14 
196,Espeon,1500,0 / 15 / 15 
197,Umbreon,1500,0 / 15 / 15 
198,Murkrow,1500,7 / 15 / 15 
199,Slowking,1500,0 / 13 / 15 
200,Misdreavus,1500,1 / 15 / 15 
201,Unown,1500,15 / 15 / 15 
202,Wobbuffet,1500,15 / 15 / 15 
203,Girafarig,1500,0 / 15 / 12 
204,Pineco,1500,15 / 15 / 15 
205,Forretress,1500,0 / 9 / 15 
206,Dunsparce,1500,0 / 14 / 12 
207,Gligar,1500,0 / 15 / 12 
208,Steelix,1500,0 / 14 / 15 
209,Snubbull,1500,15 / 15 / 15 
210,Granbull,1500,0 / 15 / 15 
211,Qwilfish,1500,0 / 12 / 14 
212,Scizor,1500,1 / 15 / 15 
213,Shuckle,1500,15 / 15 / 15 
214,Heracross,1500,0 / 15 / 15 
215,Sneasel,1500,1 / 15 / 14 
216,Teddiursa,1500,15 / 15 / 15 
217,Ursaring,1500,0 / 14 / 15 
218,Slugma,1500,15 / 15 / 15 
219,Magcargo,1500,0 / 15 / 14 
220,Swinub,1500,15 / 15 / 15 
221,Piloswine,1500,0 / 15 / 10 
222,Corsola,1500,15 / 15 / 15 
223,Remoraid,1500,15 / 15 / 15 
224,Octillery,1500,0 / 15 / 13 
225,Delibird,1500,15 / 15 / 15 
226,Mantine,1500,0 / 15 / 14 
227,Skarmory,1500,0 / 15 / 14 
228,Houndour,1500,15 / 15 / 15 
229,Houndoom,1500,0 / 13 / 13 
230,Kingdra,1500,0 / 15 / 13 
231,Phanpy,1500,15 / 15 / 15 
232,Donphan,1500,0 / 14 / 8 
233,Porygon2,1500,0 / 12 / 15 
234,Stantler,1500,0 / 11 / 15 
235,Smeargle,1500,15 / 15 / 15 
236,Tyrogue,1500,15 / 15 / 15 
237,Hitmontop,1500,0 / 14 / 15 
238,Smoochum,1500,15 / 15 / 15 
239,Elekid,1500,15 / 15 / 15 
240,Magby,1500,15 / 15 / 15 
241,Miltank,1500,0 / 14 / 14 
242,Blissey,1500,0 / 15 / 3 
243,Raikou,1500,3 / 15 / 14 
244,Entei,1500,1 / 15 / 15 
245,Suicune,1500,1 / 15 / 14 
246,Larvitar,1500,15 / 15 / 15 
247,Pupitar,1500,0 / 14 / 14 
248,Tyranitar,1500,0 / 15 / 15 
249,Lugia,1500,0 / 11 / 11 
250,HoOh,1500,0 / 13 / 15 
251,Celebi,1500,0 / 10 / 13 
252,Treecko,1500,15 / 15 / 15 
253,Grovyle,1500,0 / 15 / 14 
254,Sceptile,1500,0 / 12 / 15 
255,Torchic,1500,15 / 15 / 15 
256,Combusken,1500,0 / 15 / 14 
257,Blaziken,1500,1 / 15 / 15 
258,Mudkip,1500,15 / 15 / 15 
259,Marshtomp,1500,0 / 14 / 15 
260,Swampert,1500,0 / 14 / 14 
261,Poochyena,1500,15 / 15 / 15 
262,Mightyena,1500,0 / 12 / 14 
263,Zigzagoon,1500,15 / 15 / 15 
264,Linoone,1500,0 / 15 / 14 
265,Wurmple,1500,15 / 15 / 15 
266,Silcoon,1500,15 / 15 / 15 
267,Beautifly,1500,0 / 15 / 15 
268,Cascoon,1500,15 / 15 / 15 
269,Dustox,1500,15 / 15 / 15 
270,Lotad,1500,15 / 15 / 15 
271,Lombre,1500,15 / 15 / 15 
272,Ludicolo,1500,0 / 15 / 15 
273,Seedot,1500,15 / 15 / 15 
274,Nuzleaf,1500,15 / 15 / 15 
275,Shiftry,1500,0 / 14 / 11 
276,Taillow,1500,15 / 15 / 15 
277,Swellow,1500,0 / 15 / 15 
278,Wingull,1500,15 / 15 / 15 
279,Pelipper,1500,0 / 12 / 15 
280,Ralts,1500,15 / 15 / 15 
281,Kirlia,1500,15 / 15 / 15 
282,Gardevoir,1500,0 / 15 / 15 
283,Surskit,1500,15 / 15 / 15 
284,Masquerain,1500,0 / 15 / 14 
285,Shroomish,1500,15 / 15 / 15 
286,Breloom,1500,2 / 15 / 15 
287,Slakoth,1500,15 / 15 / 15 
288,Vigoroth,1500,1 / 15 / 15 
289,Slaking,1500,0 / 14 / 15 
290,Nincada,1500,15 / 15 / 15 
291,Ninjask,1500,0 / 12 / 15 
292,Shedinja,1500,15 / 15 / 15 
293,Whismur,1500,15 / 15 / 15 
294,Loudred,1500,15 / 15 / 15 
295,Exploud,1500,0 / 15 / 10 
296,Makuhita,1500,15 / 15 / 15 
297,Hariyama,1500,0 / 14 / 14 
298,Azurill,1500,15 / 15 / 15 
299,Nosepass,1500,15 / 15 / 15 
300,Skitty,1500,15 / 15 / 15 
301,Delcatty,1500,15 / 15 / 15 
302,Sableye,1500,15 / 15 / 15 
303,Mawile,1500,1 / 15 / 15 
304,Aron,1500,15 / 15 / 15 
305,Lairon,1500,0 / 14 / 15 
306,Aggron,1500,0 / 14 / 12 
307,Meditite,1500,15 / 15 / 15 
308,Medicham,1500,15 / 15 / 15 
309,Electrike,1500,15 / 15 / 15 
310,Manectric,1500,0 / 15 / 15 
311,Plusle,1500,0 / 15 / 14 
312,Minun,1500,0 / 15 / 14 
313,Volbeat,1500,0 / 15 / 15 
314,Illumise,1500,0 / 15 / 15 
315,Roselia,1500,0 / 13 / 15 
316,Gulpin,1500,15 / 15 / 15 
317,Swalot,1500,0 / 14 / 14 
318,Carvanha,1500,15 / 15 / 15 
319,Sharpedo,1500,0 / 15 / 15 
320,Wailmer,1500,15 / 15 / 15 
321,Wailord,1500,0 / 15 / 15 
322,Numel,1500,15 / 15 / 15 
323,Camerupt,1500,0 / 14 / 13 
324,Torkoal,1500,0 / 15 / 15 
325,Spoink,1500,15 / 15 / 15 
326,Grumpig,1500,1 / 14 / 15 
327,Spinda,1500,15 / 15 / 15 
328,Trapinch,1500,15 / 15 / 15 
329,Vibrava,1500,15 / 15 / 15 
330,Flygon,1500,0 / 15 / 9 
331,Cacnea,1500,15 / 15 / 15 
332,Cacturne,1500,0 / 14 / 15 
333,Swablu,1500,15 / 15 / 15 
334,Altaria,1500,0 / 14 / 15 
335,Zangoose,1500,0 / 15 / 10 
336,Seviper,1500,0 / 14 / 14 
337,Lunatone,1500,0 / 15 / 14 
338,Solrock,1500,0 / 15 / 14 
339,Barboach,1500,15 / 15 / 15 
340,Whiscash,1500,0 / 14 / 13 
341,Corphish,1500,15 / 15 / 15 
342,Crawdaunt,1500,2 / 15 / 14 
343,Baltoy,1500,15 / 15 / 15 
344,Claydol,1500,0 / 14 / 15 
345,Lileep,1500,15 / 15 / 15 
346,Cradily,1500,0 / 15 / 15 
347,Anorith,1500,11 / 15 / 15 
348,Armaldo,1500,0 / 9 / 15 
349,Feebas,1500,15 / 15 / 15 
350,Milotic,1500,0 / 15 / 11 
351,Castform,1500,3 / 14 / 15 
352,Kecleon,1500,0 / 15 / 15 
353,Shuppet,1500,15 / 15 / 15 
354,Banette,1500,0 / 14 / 15 
355,Duskull,1500,15 / 15 / 15 
356,Dusclops,1500,8 / 15 / 15 
357,Tropius,1500,0 / 15 / 15 
358,Chimecho,1500,0 / 14 / 12 
359,Absol,1500,0 / 15 / 15 
360,Wynaut,1500,15 / 15 / 15 
361,Snorunt,1500,15 / 15 / 15 
362,Glalie,1500,0 / 13 / 13 
363,Spheal,1500,15 / 15 / 15 
364,Sealeo,1500,0 / 15 / 14 
365,Walrein,1500,0 / 12 / 15 
366,Clamperl,1500,15 / 15 / 15 
367,Huntail,1500,1 / 15 / 15 
368,Gorebyss,1500,0 / 15 / 15 
369,Relicanth,1500,1 / 15 / 15 
370,Luvdisc,1500,15 / 15 / 15 
371,Bagon,1500,15 / 15 / 15 
372,Shelgon,1500,1 / 15 / 14 
373,Salamence,1500,0 / 10 / 14 
374,Beldum,1500,15 / 15 / 15 
375,Metang,1500,0 / 13 / 15 
376,Metagross,1500,2 / 15 / 15 
377,Regirock,1500,0 / 10 / 12 
378,Regice,1500,0 / 10 / 12 
379,Registeel,1500,0 / 8 / 15 
380,Latias,1500,0 / 14 / 14 
381,Latios,1500,0 / 15 / 15 
382,Kyogre,1500,0 / 15 / 14 
383,Groudon,1500,0 / 15 / 14 
384,Rayquaza,1500,0 / 15 / 12 
385,Jirachi,1500,0 / 10 / 13 
386,Deoxys,1500,0 / 15 / 12 
387,Turtwig,1500,15 / 15 / 15 
388,Grotle,1500,0 / 15 / 11 
389,Torterra,1500,0 / 11 / 13 
390,Chimchar,1500,15 / 15 / 15 
391,Monferno,1500,7 / 15 / 14 
392,Infernape,1500,0 / 13 / 15 
393,Piplup,1500,15 / 15 / 15 
394,Prinplup,1500,0 / 15 / 14 
395,Empoleon,1500,0 / 13 / 15 
396,Starly,1500,15 / 15 / 15 
397,Staravia,1500,15 / 15 / 15 
398,Staraptor,1500,0 / 13 / 13 
399,Bidoof,1500,15 / 15 / 15 
400,Bibarel,1500,0 / 14 / 13 
401,Kricketot,1500,15 / 15 / 15 
402,Kricketune,1500,0 / 15 / 15 
403,Shinx,1500,15 / 15 / 15 
404,Luxio,1500,15 / 15 / 15 
405,Luxray,1500,0 / 15 / 12 
406,Budew,1500,15 / 15 / 15 
407,Roserade,1500,0 / 11 / 14 
408,Cranidos,1500,1 / 15 / 14 
409,Rampardos,1500,1 / 14 / 8 
410,Shieldon,1500,15 / 15 / 15 
411,Bastiodon,1500,12 / 15 / 15 
412,Burmy,1500,15 / 15 / 15 
413,Wormadam,1500,0 / 15 / 15 
414,Mothim,1500,0 / 15 / 15 
415,Combee,1500,15 / 15 / 15 
416,Vespiquen,1500,0 / 14 / 13 
417,Pachirisu,1500,15 / 15 / 15 
418,Buizel,1500,15 / 15 / 15 
419,Floatzel,1500,0 / 15 / 14 
420,Cherubi,1500,15 / 15 / 15 
421,Cherrim,1500,0 / 13 / 15 
422,Shellos,1500,15 / 15 / 15 
423,Gastrodon,1500,1 / 15 / 14 
424,Ambipom,1500,0 / 13 / 14 
425,Drifloon,1500,15 / 15 / 15 
426,Drifblim,1500,0 / 15 / 12 
427,Buneary,1500,15 / 15 / 15 
428,Lopunny,1500,0 / 15 / 14 
429,Mismagius,1500,0 / 15 / 15 
430,Honchkrow,1500,0 / 15 / 15 
431,Glameow,1500,15 / 15 / 15 
432,Purugly,1500,0 / 12 / 15 
433,Chingling,1500,15 / 15 / 15 
434,Stunky,1500,15 / 15 / 15 
435,Skuntank,1500,0 / 15 / 15 
436,Bronzor,1500,15 / 15 / 15 
437,Bronzong,1500,1 / 15 / 14 
438,Bonsly,1500,15 / 15 / 15 
439,Mime Jr,1500,15 / 15 / 15 
440,Happiny,1500,15 / 15 / 15 
441,Chatot,1500,0 / 15 / 14 
442,Spiritomb,1500,0 / 15 / 15 
443,Gible,1500,15 / 15 / 15 
444,Gabite,1500,0 / 15 / 14 
445,Garchomp,1500,0 / 15 / 15 
446,Munchlax,1500,0 / 14 / 13 
447,Riolu,1500,15 / 15 / 15 
448,Lucario,1500,1 / 15 / 15 
449,Hippopotas,1500,15 / 15 / 15 
450,Hippowdon,1500,0 / 14 / 10 
451,Skorupi,1500,15 / 15 / 15 
452,Drapion,1500,2 / 15 / 14 
453,Croagunk,1500,15 / 15 / 15 
454,Toxicroak,1500,1 / 15 / 15 
455,Carnivine,1500,0 / 14 / 13 
456,Finneon,1500,15 / 15 / 15 
457,Lumineon,1500,0 / 15 / 12 
458,Mantyke,1500,15 / 15 / 15 
459,Snover,1500,15 / 15 / 15 
460,Abomasnow,1500,0 / 15 / 15 
461,Weavile,1500,0 / 15 / 15 
462,Magnezone,1500,0 / 13 / 15 
463,Lickilicky,1500,0 / 15 / 10 
464,Rhyperior,1500,0 / 14 / 14 
465,Tangrowth,1500,1 / 15 / 15 
466,Electivire,1500,1 / 15 / 15 
467,Magmortar,1500,0 / 10 / 15 
468,Togekiss,1500,0 / 14 / 11 
469,Yanmega,1500,0 / 14 / 15 
470,Leafeon,1500,1 / 15 / 14 
471,Glaceon,1500,0 / 15 / 12 
472,Gliscor,1500,1 / 15 / 14 
473,Mamoswine,1500,0 / 15 / 7 
474,Porygon Z,1500,1 / 15 / 13 
475,Gallade,1500,0 / 15 / 15 
476,Probopass,1500,0 / 15 / 15 
477,Dusknoir,1500,0 / 14 / 13 
478,Froslass,1500,0 / 15 / 15 
479,Rotom,1500,0 / 12 / 15 
480,Uxie,1500,0 / 13 / 13 
481,Mesprit,1500,0 / 15 / 12 
482,Azelf,1500,0 / 14 / 11 
483,Dialga,1500,0 / 13 / 8 
484,Palkia,1500,0 / 14 / 12 
485,Heatran,1500,0 / 14 / 10 
486,Regigigas,1500,0 / 8 / 12 
487,Giratina,1500,0 / 11 / 12 
488,Cresselia,1500,2 / 15 / 13 
491,Darkrai,1500,0 / 10 / 14 
495,Snivy,1500,15 / 15 / 15 
496,Servine,1500,15 / 15 / 15 
497,Serperior,1500,0 / 10 / 15 
498,Tepig,1500,15 / 15 / 15 
499,Pignite,1500,0 / 15 / 15 
500,Emboar,1500,0 / 14 / 9 
501,Oshawott,1500,15 / 15 / 15 
502,Dewott,1500,0 / 15 / 15 
503,Samurott,1500,0 / 14 / 14 
504,Patrat,1500,15 / 15 / 15 
505,Watchog,1500,0 / 15 / 15 
506,Lillipup,1500,15 / 15 / 15 
507,Herdier,1500,6 / 15 / 15 
508,Stoutland,1500,0 / 15 / 13 
509,Purrloin,1500,15 / 15 / 15 
510,Liepard,1500,0 / 15 / 14 
511,Pansage,1500,15 / 15 / 15 
512,Simisage,1500,0 / 14 / 15 
513,Pansear,1500,15 / 15 / 15 
514,Simisear,1500,0 / 14 / 15 
515,Panpour,1500,15 / 15 / 15 
516,Simipour,1500,0 / 14 / 15 
519,Pidove,1500,15 / 15 / 15 
520,Tranquill,1500,15 / 15 / 15 
521,Unfezant,1500,0 / 15 / 14 
522,Blitzle,1500,15 / 15 / 15 
523,Zebstrika,1500,0 / 15 / 9 
529,Drilbur,1500,15 / 15 / 15 
530,Excadrill,1500,2 / 15 / 15 
562,Yamask,1500,15 / 15 / 15 
563,Cofagrigus,1500,0 / 11 / 14 
590,Foongus,1500,15 / 15 / 15 
591,Amoonguss,1500,0 / 14 / 15 
597,Ferroseed,1500,15 / 15 / 15 
598,Ferrothorn,1500,0 / 13 / 13 
599,Klink,1500,15 / 15 / 15 
600,Klang,1500,0 / 15 / 15 
601,Klinklang,1500,0 / 13 / 15 
607,Litwick,1500,15 / 15 / 15 
608,Lampent,1500,0 / 15 / 14 
609,Chandelure,1500,0 / 15 / 14 
613,Cubchoo,1500,15 / 15 / 15 
614,Beartic,1500,0 / 15 / 12 
615,Cryogonal,1500,0 / 14 / 11 
622,Golett,1500,15 / 15 / 15 
623,Golurk,1500,2 / 15 / 14 
631,Heatmor,1500,0 / 15 / 15 
632,Durant,1500,1 / 15 / 15 
633,Deino,1500,15 / 15 / 15 
634,Zweilous,1500,0 / 15 / 15 
635,Hydreigon,1500,0 / 15 / 10 
638,Cobalion,1500,0 / 12 / 11 
639,Terrakion,1500,0 / 15 / 15 
